City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
yellowknife,CA,1.0,78,90,6.91,62.456,-114.3525,1615686636
klaksvik,FO,41.0,87,75,26.46,62.2266,-6.589,1615686689
kaitangata,NZ,64.99,71,0,5.99,-46.2817,169.8464,1615686687
longyearbyen,SJ,5.0,61,75,11.5,78.2186,15.6401,1615686646
coos bay,US,51.8,71,90,6.91,43.3665,-124.2179,1615686832
wajima,JP,46.4,61,40,10.36,37.4,136.9,1615686686
bengkulu,ID,82.62,66,80,2.62,-3.8004,102.2655,1615686486
bethel,US,42.8,24,1,5.75,41.3712,-73.414,1615686700
iqaluit,CA,-20.0,69,20,12.66,63.7506,-68.5145,1615686674
ostrovnoy,RU,12.97,91,95,9.82,68.0531,39.5131,1615686833
constantine,DZ,42.8,93,11,1.25,36.365,6.6147,1615686834
mayo,US,46.4,42,1,6.2,38.8876,-76.5119,1615686718
arraial do cabo,BR,76.46,85,100,14.0,-22.9661,-42.0278,1615686647
vao,NC,76.71,78,100,20.24,-22.6667,167.4833,1615686760
bantogon,PH,83.32,67,0,6.11,6.5333,124.0333,1615686835
atuona,PF,79.57,62,0,5.66,-9.8,-139.0333,1615686639
hofn,IS,35.74,57,100,10.02,64.2539,-15.2082,1615686459
danilovka,RU,21.49,93,99,13.73,50.3557,44.1168,1615686835
erdenet,MN,29.88,33,100,32.01,49.0333,104.0833,1615686740
meulaboh,ID,79.21,79,45,4.43,4.1363,96.1285,1615686836
mandalgovi,MN,46.02,23,100,19.64,45.7625,106.2708,1615686681
san pedro,PH,84.99,65,75,3.44,14.35,121.0167,1615686836
westport,US,42.8,28,1,9.22,41.1415,-73.3579,1615686642
bowen,AU,84.2,61,40,8.05,-20.0167,148.2333,1615686713
cesme,TR,44.6,87,20,2.3,38.3228,26.3064,1615686837
kahului,US,75.2,78,75,17.27,20.8947,-156.47,1615686668
bonthe,SL,78.91,82,100,8.05,7.5264,-12.505,1615686838
hermanus,ZA,64.0,95,99,1.01,-34.4187,19.2345,1615686671
lebu,CL,55.47,88,0,5.14,-37.6167,-73.65,1615686666
fort nelson,CA,3.2,72,90,11.5,58.8053,-122.7002,1615686838
qaqortoq,GL,26.6,54,75,3.44,60.7167,-46.0333,1615686839
tasiilaq,GL,24.8,86,75,28.77,65.6145,-37.6368,1615686367
leningradskiy,RU,23.74,87,100,7.05,69.3833,178.4167,1615686728
hami,CN,54.73,26,42,6.64,42.8,93.45,1615686839
viedma,AR,66.7,51,0,4.83,-40.8135,-62.9967,1615686777
luderitz,NA,66.09,74,0,9.13,-26.6481,15.1594,1615686661
marathon,US,53.6,32,1,13.8,44.9,-89.7668,1615686840
russell,US,73.4,68,1,1.79,32.3502,-85.1999,1615686841
qitaihe,CN,36.82,88,0,1.45,45.8,130.85,1615686841
ternate,ID,84.69,66,52,1.57,0.8,127.4,1615686841
provideniya,RU,21.4,94,100,27.07,64.3833,-173.3,1615686668
grandview,US,51.8,87,90,12.66,38.8858,-94.533,1615686841
torbay,CA,32.0,93,90,14.97,47.6666,-52.7314,1615686699
toccoa,US,59.0,77,90,5.44,34.5773,-83.3324,1615686842
asau,RO,34.0,66,3,5.39,46.4333,26.4,1615686675
alugan,PH,83.03,74,32,1.66,12.2188,125.4808,1615686842
saskylakh,RU,-10.35,96,100,12.03,71.9167,114.0833,1615686682
yar-sale,RU,5.47,89,100,9.78,66.8333,70.8333,1615686732
popondetta,PG,83.97,77,100,5.06,-8.7537,148.2534,1615686844
port elizabeth,ZA,68.0,77,0,8.05,-33.918,25.5701,1615686370
mufulira,ZM,62.17,98,100,3.22,-12.5498,28.2407,1615686844
victor harbor,AU,64.0,57,78,9.64,-35.5667,138.6167,1615686844
east london,ZA,73.96,81,1,12.93,-33.0153,27.9116,1615686363
harper,LR,78.15,87,100,10.67,4.375,-7.7169,1615686845
college,US,10.0,43,1,2.04,64.8569,-147.8028,1615686845
ribeira grande,PT,61.72,86,98,26.33,38.5167,-28.7,1615686681
tubuala,PA,80.6,65,0,8.05,9.5167,-79.0333,1615686845
oktyabrskoye,RU,19.4,100,100,2.1,43.0645,44.7417,1615686770
deputatskiy,RU,-17.7,81,0,2.68,69.3,139.9,1615686667
aksu,CN,50.83,32,100,4.38,41.1231,80.2644,1615686726
khatanga,RU,-16.96,91,84,14.07,71.9667,102.5,1615686663
airai,TL,71.69,78,45,1.19,-8.9266,125.4092,1615686719
gimli,CA,32.0,69,0,3.44,50.6336,-96.9907,1615686847
san carlos de bariloche,AR,63.0,16,0,2.3,-41.1456,-71.3082,1615686709
inhambane,MZ,74.62,82,25,8.12,-23.865,35.3833,1615686376
pergamino,AR,71.01,53,0,3.0,-33.89,-60.5736,1615686848
avarua,CK,84.2,70,3,4.61,-21.2078,-159.775,1615686644
swan hill,AU,64.36,29,0,15.75,-35.3378,143.5544,1615686848
arica,CL,69.8,78,0,0.54,-18.475,-70.3042,1615686849
valentin gomez farias,MX,50.83,11,0,24.87,28.2167,-106.5833,1615686849
san pedro de ycuamandiyu,PY,78.1,44,8,3.69,-24.0917,-57.0764,1615686849
tiksi,RU,1.72,87,100,7.05,71.6872,128.8694,1615686646
muncar,ID,84.51,67,70,0.92,-8.4333,114.3333,1615686850
geilo,NO,15.01,82,45,5.37,60.5333,8.2076,1615686755
miyako,JP,43.5,83,100,17.05,39.6367,141.9525,1615686850
tenali,IN,75.2,83,20,3.13,16.2425,80.6398,1615686850
mungeli,IN,75.2,20,0,2.71,22.0667,81.6833,1615686850
kula,TR,42.12,68,100,1.05,38.5473,28.6498,1615686851
bafoulabe,ML,74.57,11,14,4.9,13.8065,-10.8321,1615686851
shingu,JP,53.6,54,20,17.27,33.7333,135.9833,1615686782
kununurra,AU,87.8,74,98,9.22,-15.7667,128.7333,1615686836
olga,RU,47.46,37,100,2.42,43.7444,135.2892,1615686851
goure,NE,79.45,15,8,13.11,13.9835,10.2704,1615686852
ulety,RU,36.68,68,100,4.76,51.3572,112.4849,1615686852
rio de janeiro,BR,78.8,94,75,4.61,-22.9028,-43.2075,1615686627
kodiak,US,33.8,23,1,14.97,57.79,-152.4072,1615686642
haibara,JP,55.0,50,40,12.66,34.5333,135.95,1615686853
mecca,SA,73.74,52,27,1.79,21.4267,39.8261,1615686853
thompson,CA,14.0,52,20,3.44,55.7435,-97.8558,1615686712
saldanha,ZA,68.0,83,99,5.75,-33.0117,17.9442,1615686730
saint-philippe,RE,77.0,73,0,8.05,-21.3585,55.7679,1615686663
aklavik,CA,-5.8,65,40,8.05,68.2191,-135.0107,1615686676
luganville,VU,82.36,79,100,5.55,-15.5333,167.1667,1615686854
ocampo,MX,65.93,20,0,10.89,21.65,-101.5,1615686854
victoria,HK,71.01,80,72,3.0,22.2855,114.1577,1615686565
souillac,MU,78.8,89,75,8.05,-20.5167,57.5167,1615686854
jumla,NP,46.69,41,0,2.06,29.2747,82.1838,1615686631
quang ngai,VN,79.47,69,12,3.51,15.1167,108.8,1615686580
sitka,US,33.8,60,20,13.8,57.0531,-135.33,1615686677
sagone,FR,48.2,87,75,3.44,42.1155,8.6969,1615686855
east foothills,US,54.0,68,0,8.99,37.3811,-121.8175,1615686856
boyolangu,ID,83.34,69,73,1.7,-8.1181,111.8935,1615686856
alyangula,AU,89.6,58,75,5.75,-13.8483,136.4192,1615686856
huarmey,PE,72.59,78,17,6.13,-10.0681,-78.1522,1615686702
ayagoz,KZ,-1.91,82,100,20.8,47.9714,80.4392,1615686856
panzhihua,CN,61.0,43,0,0.09,26.5851,101.7128,1615686714
acapulco,MX,80.6,78,20,6.91,16.8634,-99.8901,1615686602
richards bay,ZA,73.09,81,0,11.7,-28.783,32.0377,1615686670
estevan,CA,42.8,45,1,9.22,49.1334,-102.9842,1615686857
cayambe,EC,55.4,94,40,3.44,0.05,-78.1333,1615686858
rabo de peixe,PT,59.0,100,75,18.41,37.8,-25.5833,1615686858
yerbogachen,RU,3.54,89,85,13.0,61.2767,108.0108,1615686858
cabo san lucas,MX,66.2,68,1,8.05,22.8909,-109.9124,1615686670
namatanai,PG,85.48,57,0,4.05,-3.6667,152.4333,1615686771
merauke,ID,83.53,74,82,3.67,-8.4667,140.3333,1615686649
boa vista,BR,77.0,83,0,3.44,2.8197,-60.6733,1615686859
san patricio,US,73.4,88,90,23.02,28.017,-97.5169,1615686663
vestmannaeyjar,IS,30.79,64,100,14.12,63.4427,-20.2734,1615686859
antalaha,MG,73.29,86,3,6.8,-14.9003,50.2788,1615686860
esperance,AU,62.6,51,67,8.05,-33.8667,121.9,1615686664
lagoa,PT,60.57,83,100,27.38,39.05,-27.9833,1615686693
sergeyevka,KZ,-2.51,97,12,7.76,53.88,67.4158,1615686860
korla,CN,52.05,34,51,3.27,41.7597,86.1469,1615686684
port alfred,ZA,73.99,72,83,5.01,-33.5906,26.891,1615686653
chokurdakh,RU,-13.34,86,0,3.15,70.6333,147.9167,1615686643
the valley,AI,77.0,73,20,3.44,18.217,-63.0578,1615686861
nelson bay,AU,70.0,100,90,18.41,-32.7167,152.15,1615686861
lovozero,RU,12.83,87,94,3.29,68.005,35.0117,1615686862
upernavik,GL,-5.13,99,100,4.72,72.7868,-56.1549,1615686640
moerai,PF,81.1,73,74,9.01,-22.4333,-151.3333,1615686862
nurota,UZ,15.8,92,90,13.8,40.5614,65.6886,1615686862
cayenne,GF,75.99,100,75,6.91,4.9333,-52.3333,1615686703
vila franca do campo,PT,59.0,100,75,18.41,37.7167,-25.4333,1615686735
selikhino,RU,32.4,90,25,13.2,50.3672,137.4996,1615686863
kushmurun,KZ,-5.19,90,0,3.53,52.4503,64.6311,1615686863
ponta do sol,PT,57.0,70,100,1.01,32.6667,-17.1,1615686648
constitucion,CL,55.36,91,15,2.62,-35.3333,-72.4167,1615686662
evensk,RU,3.15,64,88,2.73,61.95,159.2333,1615686695
dunedin,NZ,60.01,82,0,18.01,-45.8742,170.5036,1615686597
bathsheba,BB,77.0,73,40,9.22,13.2167,-59.5167,1615686686
dikson,RU,-22.7,98,100,14.79,73.5069,80.5464,1615686650
sao filipe,CV,69.89,74,0,5.06,14.8961,-24.4956,1615686684
isangel,VU,82.08,73,100,12.12,-19.55,169.2667,1615686718
kuching,MY,78.8,94,40,2.3,1.55,110.3333,1615686612
tumkur,IN,64.4,68,11,5.75,13.3422,77.1017,1615686751
deer lake,CA,26.6,86,90,3.44,49.1667,-57.4316,1615686866
santa cruz del sur,CU,72.73,79,0,15.7,20.7147,-77.9956,1615686866
sinnamary,GF,77.4,88,100,11.88,5.3833,-52.95,1615686866
coihaique,CL,52.59,79,2,0.83,-45.5752,-72.0662,1615686867
henties bay,NA,63.0,94,0,1.99,-22.116,14.2845,1615686773
belaya gora,RU,-9.78,88,4,2.53,68.5333,146.4167,1615686641
norman wells,CA,-2.2,65,75,2.3,65.282,-126.8329,1615686734
mount gambier,AU,59.0,44,40,11.5,-37.8333,140.7667,1615686696
mollendo,PE,72.1,84,18,2.98,-17.0231,-72.0147,1615686868
atambua,ID,82.42,73,74,2.93,-9.1061,124.8925,1615686868
prijepolje,RS,39.2,70,0,3.44,43.3719,19.6406,1615686868
cape town,ZA,66.2,82,75,6.91,-33.9258,18.4232,1615686587
touho,NC,79.23,75,100,15.48,-20.7833,165.2333,1615686869
provost,CA,37.4,81,2,10.36,52.3501,-110.2683,1615686869
bahia blanca,AR,71.56,56,23,7.2,-38.7196,-62.2724,1615686870
goderich,CA,37.4,70,0,10.36,43.7501,-81.7165,1615686658
wabana,CA,30.2,93,90,14.97,47.6332,-52.9481,1615686870
guerrero negro,MX,57.22,70,0,18.63,27.9769,-114.0611,1615686870
georgetown,MY,82.4,78,20,8.05,5.4112,100.3354,1615686643
nikolskoye,RU,35.6,87,75,6.71,59.7035,30.7861,1615686694
fort-shevchenko,KZ,28.62,45,0,13.49,44.5086,50.263,1615686871
lavrentiya,RU,15.21,78,100,15.61,65.5833,-171.0,1615686871
kyaukse,MM,69.8,56,40,2.3,21.6,96.1333,1615686872
boguchany,RU,9.57,87,100,13.47,58.3814,97.4531,1615686872
grand gaube,MU,77.0,84,100,3.0,-20.0064,57.6608,1615686653
berlevag,NO,24.3,82,100,6.55,70.8578,29.0864,1615686674
kavieng,PG,84.74,60,63,3.15,-2.5744,150.7967,1615686641
marawi,PH,84.99,73,93,5.99,7.9986,124.2928,1615686771
tezpur,IN,73.92,44,0,2.51,26.6333,92.8,1615686730
akyab,MM,78.82,48,0,5.32,20.15,92.9,1615686873
healesville,AU,60.01,56,7,1.99,-37.65,145.5167,1615686739
prince rupert,CA,33.8,93,90,5.75,54.3161,-130.3201,1615686873
sur,OM,78.26,34,0,14.76,22.5667,59.5289,1615686874
chuy,UY,61.32,78,0,5.46,-33.6971,-53.4616,1615686679
qui nhon,VN,77.68,72,4,9.01,13.7667,109.2333,1615686660
saint-pierre,RE,77.0,73,0,8.05,-21.3393,55.4781,1615686699
namibe,AO,73.74,82,99,6.33,-15.1961,12.1522,1615686748
saint-augustin,CA,18.75,76,100,17.43,51.226,-58.6502,1615686875
mackay,AU,84.99,70,13,9.22,-21.15,149.2,1615686748
barcelos,PT,48.0,93,20,3.4,41.5388,-8.6151,1615686876
salinopolis,BR,77.94,87,78,7.36,-0.6136,-47.3561,1615686876
pokoynoye,RU,26.24,95,100,9.08,44.8097,44.2517,1615686876
lamu,KE,78.8,83,1,6.91,-2.2717,40.902,1615686877
rasshevatskaya,RU,30.52,73,100,8.32,45.5748,41.035,1615686877
yen bai,VN,72.32,81,84,3.89,21.7,104.8667,1615686877
cap malheureux,MU,77.0,84,100,3.0,-19.9842,57.6142,1615686877
sao roque,BR,71.6,78,20,4.61,-23.5292,-47.1353,1615686878
geraldton,AU,82.4,28,0,27.63,-28.7667,114.6,1615686650
bluff,NZ,75.0,43,44,15.01,-46.6,168.3333,1615686679
biltine,TD,83.23,11,18,20.51,14.5333,20.9167,1615686878
pangnirtung,CA,-12.19,97,100,0.76,66.1451,-65.7125,1615686684
kottayam,IN,77.0,88,20,3.44,9.5833,76.5167,1615686698
seymchan,RU,-4.32,77,1,4.36,62.8833,152.4333,1615686879
atherton,GB,45.0,80,7,11.01,53.5237,-2.4935,1615686762
poya,NC,84.51,57,100,5.99,-21.35,165.15,1615686879
keti bandar,PK,72.81,72,0,7.78,24.1447,67.4497,1615686880
lorengau,PG,84.51,65,72,3.04,-2.0226,147.2712,1615686669
buraydah,SA,57.2,54,6,4.61,26.326,43.975,1615686880
cabedelo,BR,80.6,74,75,9.22,-6.9811,-34.8339,1615686880
half moon bay,US,52.0,76,90,9.22,37.4636,-122.4286,1615686752
castro,BR,63.97,92,29,4.14,-24.7911,-50.0119,1615686654
nanortalik,GL,26.62,76,100,4.76,60.1432,-45.2371,1615686682
puerto boyaca,CO,74.48,86,100,1.1,5.9758,-74.5885,1615686881
khetia,IN,75.96,19,0,2.26,21.6667,74.5833,1615686881
san quintin,MX,55.6,75,0,17.63,30.4833,-115.95,1615686882
lumeje,AO,65.5,94,90,1.81,-11.55,20.7833,1615686882
mobaye,CF,71.02,87,100,1.14,4.319,21.1786,1615686883
sechura,PE,79.16,64,25,15.12,-5.5569,-80.8222,1615686781
lapeer,US,44.6,36,1,10.36,43.0514,-83.3188,1615686883
solginskiy,RU,22.86,92,100,9.08,61.05,41.3428,1615686884
axim,GH,79.65,84,100,10.04,4.8699,-2.2405,1615686523
kysyl-syr,RU,9.37,91,100,8.77,63.8986,122.7617,1615686884
sao mateus do sul,BR,67.62,88,86,3.47,-25.8742,-50.3828,1615686884
hirara,JP,71.6,56,40,10.36,24.8,125.2833,1615686671
maniitsoq,GL,9.41,67,48,6.29,65.4167,-52.9,1615686723
praia,CV,68.0,83,0,14.97,14.9215,-23.5087,1615686475
opuwo,NA,66.88,74,12,4.59,-18.0607,13.84,1615686604
itarema,BR,77.22,86,72,6.6,-2.9248,-39.9167,1615686885
woodward,US,63.0,100,90,26.46,36.4337,-99.3904,1615686885
barahona,DO,74.46,82,12,6.8,18.2085,-71.1008,1615686886
ambilobe,MG,72.91,94,69,2.06,-13.2,49.05,1615686886
pakxan,LA,84.0,55,0,3.31,18.3778,103.6601,1615686886
chumikan,RU,36.37,82,100,15.43,54.7183,135.315,1615686887
tual,ID,83.34,71,57,9.06,-5.6667,132.75,1615686887
knysna,ZA,60.8,88,75,6.91,-34.0363,23.0471,1615686887
inta,RU,9.3,94,79,10.27,66.0317,60.1659,1615686887
severo-kurilsk,RU,31.91,94,85,21.63,50.6789,156.125,1615686638
walvis bay,NA,63.0,100,7,1.14,-22.9575,14.5053,1615686565
chake chake,TZ,75.33,80,0,0.78,-5.2459,39.7666,1615686888
nehe,CN,45.9,40,0,16.04,48.4833,124.8333,1615686888
neustrelitz,DE,39.99,80,100,11.01,53.3667,13.0833,1615686888
carutapera,BR,75.61,92,63,3.98,-1.195,-46.02,1615686888
fairbanks,US,10.0,47,1,2.06,64.8378,-147.7164,1615686775
polunochnoye,RU,12.96,85,100,7.83,60.8697,60.4153,1615686889
salalah,OM,69.8,68,0,4.61,17.0151,54.0924,1615686645
koumac,NC,82.56,66,100,6.26,-20.5667,164.2833,1615686889
jijiga,ET,54.97,71,0,3.8,9.35,42.8,1615686889
mahebourg,MU,78.8,89,75,8.05,-20.4081,57.7,1615686645
te anau,NZ,65.68,52,54,11.23,-45.4167,167.7167,1615686667
sabang,ID,83.17,72,39,11.72,5.8933,95.3214,1615686890
black river,JM,78.8,50,20,6.91,18.0264,-77.8487,1615686890
golden,US,32.0,100,90,10.36,39.7555,-105.2211,1615686891
igarka,RU,-13.54,96,100,11.43,67.4667,86.5833,1615686891
srednekolymsk,RU,-11.96,88,63,3.56,67.45,153.6833,1615686707
mwene-ditu,CD,64.78,95,40,4.72,-7.0,23.45,1615686891
margate,GB,43.0,79,100,1.01,51.3813,1.3862,1615686842
auki,SB,80.31,84,100,3.31,-8.7676,160.7034,1615686779
bodden town,KY,78.01,78,20,9.22,19.2833,-81.25,1615686892
sorong,ID,82.18,74,100,10.54,-0.8833,131.25,1615686732
urusha,RU,30.49,93,100,3.49,54.05,122.9,1615686893
isiro,CD,68.88,87,100,2.37,2.7739,27.616,1615686893
bam,IR,49.51,44,0,2.44,29.106,58.357,1615686894
hanna,CA,37.0,70,0,3.0,51.6334,-111.9018,1615686894
osa,RU,1.02,94,86,9.78,57.2829,55.4567,1615686894
road town,VG,77.0,73,40,4.61,18.4167,-64.6167,1615686895
porto velho,BR,77.0,88,75,1.74,-8.7619,-63.9039,1615686895
mainpuri,IN,70.16,40,0,6.04,27.2333,79.0167,1615686752
kenai,US,28.4,53,1,5.75,60.5544,-151.2583,1615686673
novopokrovka,UA,32.0,100,90,6.71,49.8425,36.5477,1615686896
kenora,CA,39.2,35,20,13.8,49.8167,-94.4337,1615686896
torbat-e jam,IR,26.22,77,22,3.38,35.244,60.6225,1615686896
nikel,RU,19.4,93,90,9.22,69.4128,30.222,1615686897
talnakh,RU,-21.5,97,100,10.45,69.4865,88.3972,1615686453
asfi,MA,55.09,80,83,18.92,32.2994,-9.2372,1615686824
komsomolskiy,UZ,41.0,75,75,9.22,40.4272,71.7189,1615686722
san cristobal,VE,77.0,69,40,4.61,7.7669,-72.225,1615686676
pevek,RU,-2.69,95,99,5.08,69.7008,170.3133,1615686640
san vicente,AR,65.43,70,0,3.42,-26.6167,-54.1333,1615686753
pisco,PE,73.4,88,0,8.05,-13.7,-76.2167,1615686748
hovd,MN,13.1,28,80,13.89,48.0056,91.6419,1615686623
touros,BR,80.6,69,20,9.22,-5.1989,-35.4608,1615686898
maceio,BR,75.2,88,20,3.44,-9.6658,-35.7353,1615686899
tommot,RU,19.87,82,100,6.08,58.9564,126.2925,1615686899
burns lake,CA,50.0,46,100,3.44,54.2331,-125.7533,1615686899
roald,NO,37.4,70,20,9.22,62.5833,6.1333,1615686721
virginia beach,US,46.99,61,75,5.75,36.8529,-75.978,1615686711
bijie,CN,63.27,69,19,18.75,27.3125,105.2942,1615686709
fuxin,CN,48.6,57,39,8.5,42.0156,121.6589,1615686900
turan,VN,80.6,69,40,2.3,16.0678,108.2208,1615686728
manaure,CO,77.27,79,10,16.53,11.7751,-72.4445,1615686900
kembe,CF,70.36,88,100,3.09,4.6228,21.8865,1615686901
lata,PT,51.01,87,0,4.61,40.1629,-8.3327,1615686682
slave lake,CA,44.6,49,75,13.8,55.2834,-114.769,1615686902
sokolo,ML,67.35,26,0,8.75,14.7328,-6.1219,1615686902
vanavara,RU,6.89,85,100,14.14,60.34,102.2797,1615686687
zonguldak,TR,38.64,70,0,4.41,41.25,31.8333,1615686902
mutis,CO,77.92,83,42,3.56,6.2262,-77.4044,1615686903
pont-saint-esprit,FR,48.99,76,90,2.21,44.2549,4.6474,1615686903
zelenoborskiy,RU,18.0,97,84,2.93,66.845,32.3622,1615686903
ihosy,MG,65.35,93,71,9.08,-22.4,46.1167,1615686903
vanimo,PG,84.6,76,87,4.59,-2.6741,141.3028,1615686716
paraiso,CR,71.6,64,20,10.36,9.8383,-83.8656,1615686904
anadyr,RU,26.01,80,20,4.47,64.75,177.4833,1615686711
broken hill,AU,60.8,41,0,24.16,-31.95,141.4333,1615686904
mackenzie,CA,46.4,49,90,13.8,55.2999,-123.1698,1615686904
hobyo,SO,79.74,82,93,13.8,5.3505,48.5268,1615686904
seidu,SL,74.73,70,99,3.02,9.0167,-10.6,1615686905
dingle,PH,82.18,78,49,5.08,10.9995,122.6711,1615686759
salinas,US,53.6,66,90,12.66,36.6777,-121.6555,1615686906
vila,PT,42.01,91,32,0.65,42.0304,-8.1588,1615686906
nefteyugansk,RU,8.6,72,0,6.71,61.0998,72.6035,1615686906
alihe,CN,40.24,59,7,5.5,50.5667,123.7167,1615686906
krasnokamensk,RU,35.65,64,100,14.76,50.0979,118.0369,1615686907
vardo,NO,25.54,89,100,5.73,70.3705,31.1107,1615686644
jiuquan,CN,58.46,14,3,5.17,39.7432,98.5174,1615686758
cherskiy,RU,-3.33,94,100,12.75,68.75,161.3,1615686667
tura,IN,76.42,36,34,3.06,25.5198,90.2201,1615686628
hambantota,LK,73.4,100,20,3.44,6.1241,81.1185,1615686732
lixourion,GR,53.24,83,100,3.53,38.2019,20.4314,1615686908
taubate,BR,73.4,73,75,6.91,-23.0264,-45.5553,1615686908
igrim,RU,17.1,90,100,10.8,63.1906,64.4162,1615686908
muros,ES,46.99,95,14,1.01,42.7762,-9.0603,1615686758
havre-saint-pierre,CA,17.6,57,40,6.91,50.2334,-63.5986,1615686691
villeneuve-les-avignon,FR,51.8,54,90,4.61,43.9684,4.7963,1615686909
jiwani,PK,71.96,90,3,9.51,25.05,61.7417,1615686909
coxim,BR,76.01,77,15,4.14,-18.5067,-54.76,1615686909
sibul,PH,86.0,54,75,9.22,15.169,121.0616,1615686910
sinegorye,RU,-3.87,78,0,1.57,62.0788,150.477,1615686910
qeshm,IR,69.8,83,40,4.61,26.9581,56.2719,1615686910
kyra,RU,41.86,42,100,6.29,49.5776,111.9753,1615686910
marsa matruh,EG,57.2,72,75,3.44,31.3525,27.2453,1615686910
gardez,AF,43.25,87,100,10.83,33.5974,69.2259,1615686911
tilichiki,RU,4.32,78,100,16.49,60.4667,166.1,1615686635
valdivia,CL,53.6,94,0,1.14,-39.8142,-73.2459,1615686912
bud,US,41.0,60,1,4.7,39.447,-86.1758,1615686737
birobidzhan,RU,35.11,74,0,3.71,48.8,132.95,1615686912
guarapari,BR,75.99,88,0,3.44,-20.6667,-40.4975,1615686912
tres arroyos,AR,62.65,59,59,5.57,-38.3739,-60.2798,1615686912
svetlopolyansk,RU,10.62,91,100,11.72,59.4184,52.3605,1615686913
ruteng,ID,74.43,69,89,0.18,-8.6136,120.4721,1615686741
malacky,SK,46.99,68,100,1.99,48.436,17.0219,1615686913
rantepao,ID,80.24,66,29,2.51,-2.9701,119.8978,1615686913
zhigansk,RU,7.21,92,98,9.6,66.7697,123.3711,1615686660
tessalit,ML,62.98,47,22,8.39,20.1986,1.0114,1615686914
